term_str,n,p,i,h,n_chars,df,dfidf,z,dp,di,dh,stop,tfidf_mean
a,840,0.023470898879543994,5.412983095070531,0.1270475788610815,1,45,1.4268986877302123,-1.4224482125861997,0.9782608695652174,0.03170885972733805,0.031019536689787224,True,
abajo,3,8.382463885551427e-05,13.542266112015497,0.0011351755661249683,5,3,11.81579836600757,0.6524615045982772,0.06521739130434782,3.9385994553358565,0.2568651818697298,False,
abandonada,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,10,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0021065272579794737
abandonado,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,10,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.001206847627090356
abandonando,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,11,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0016886978831847411
abandonaran,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,11,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0013301740170109332
abandonaron,2,5.5883092570342844e-05,14.127228612736653,0.0007894732243279585,11,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.004448770420821024
abarcar,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,7,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0018303782110975122
abejas,3,8.382463885551427e-05,13.542266112015497,0.0011351755661249683,6,3,11.81579836600757,0.6524615045982772,0.06521739130434782,3.9385994553358565,0.2568651818697298,False,0.0038080544965544134
abejorros,4,0.00011176618514068569,13.127228612736653,0.0014671802635152313,9,2,9.047123912114026,0.09949153607349615,0.043478260869565216,4.523561956057013,0.19667660678508753,False,0.0030189453089858958
abertura,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,8,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.002224385210410512
abierta,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,7,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,
abierto,2,5.5883092570342844e-05,14.127228612736653,0.0007894732243279585,7,2,9.047123912114026,0.09949153607349615,0.043478260869565216,4.523561956057013,0.19667660678508753,False,0.0028527386969881686
abismo,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,6,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.0009060217424579925
aborrecian,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,10,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.001018401425343101
abra,1,2.7941546285171422e-05,15.127228612736653,0.00042267815844915067,4,1,5.523561956057013,-0.6042473745073142,0.021739130434782608,5.523561956057013,0.12007743382732637,False,0.001320297658241033
