part,sent,token_num,token_str,token_pos,token_dep,term_str
1,0,0,THIS,PRON,nsubj,this
1,0,1,IS,AUX,ROOT,is
1,0,2,THE,DET,det,the
1,0,3,BEGINNING,NOUN,attr,beginning
1,0,4,OF,ADP,prep,of
1,0,5,THE,DET,det,the
1,0,6,ANCIENT,ADJ,amod,ancient
1,0,7,WORD,NOUN,pobj,word
1,0,8,",",PUNCT,punct,","
1,0,9,here,ADV,advmod,here
1,0,10,in,ADP,prep,in
1,0,11,this,DET,det,this
1,0,12,place,NOUN,pobj,place
1,0,13,called,VERB,acl,called
1,0,14,Quiche,PROPN,oprd,quiche
1,0,15,.,PUNCT,punct,.
1,1,0,Here,ADV,advmod,here
1,1,1,we,PRON,nsubj,we
1,1,2,shall,AUX,aux,shall
1,1,3,inscribe,VERB,advcl,inscribe
1,1,4,",",PUNCT,punct,","
1,1,5,we,PRON,nsubj,we
1,1,6,shall,AUX,aux,shall
1,1,7,implant,VERB,ROOT,implant
1,1,8,the,DET,det,the
1,1,9,Ancient,PROPN,compound,ancient
1,1,10,Word,PROPN,dobj,word
1,1,11,",",PUNCT,punct,","
1,1,12,the,DET,det,the
1,1,13,potential,NOUN,appos,potential
1,1,14,and,CCONJ,cc,and
1,1,15,source,NOUN,conj,source
1,1,16,for,ADP,prep,for
1,1,17,everything,PRON,pobj,everything
1,1,18,done,VERB,acl,done
1,1,19,in,ADP,prep,in
1,1,20,the,DET,det,the
1,1,21,citadel,PROPN,pobj,citadel
1,1,22,of,ADP,prep,of
1,1,23,Quiche,PROPN,pobj,quiche
1,1,24,",",PUNCT,punct,","
1,1,25,in,ADP,prep,in
1,1,26,the,DET,det,the
1,1,27,nation,NOUN,pobj,nation
1,1,28,of,ADP,prep,of
1,1,29,Quiche,PROPN,compound,quiche
1,1,30,people,NOUN,pobj,people
1,1,31,.,PUNCT,punct,.
1,2,0,And,CCONJ,cc,and
1,2,1,here,ADV,advmod,here
1,2,2,we,PRON,nsubj,we
1,2,3,shall,AUX,aux,shall
1,2,4,take,VERB,ROOT,take
1,2,5,up,ADP,prt,up
1,2,6,the,DET,det,the
1,2,7,demonstration,NOUN,dobj,demonstration
1,2,8,",",PUNCT,punct,","
1,2,9,revelation,NOUN,conj,revelation
1,2,10,",",PUNCT,punct,","
1,2,11,and,CCONJ,cc,and
1,2,12,account,NOUN,conj,account
1,2,13,of,ADP,prep,of
1,2,14,how,SCONJ,advmod,how
1,2,15,things,NOUN,nsubjpass,things
1,2,16,were,AUX,auxpass,were
1,2,17,put,VERB,pcomp,put
1,2,18,in,ADP,prep,in
1,2,19,shadow,NOUN,pobj,shadow
1,2,20,and,CCONJ,cc,and
1,2,21,brought,VERB,conj,brought
1,2,22,to,ADP,prep,to
1,2,23,light,NOUN,pobj,light
1,2,24,by,ADP,agent,by
1,2,25,the,DET,det,the
1,2,26,Maker,PROPN,pobj,maker
1,2,27,",",PUNCT,punct,","
1,2,28,Modeler,PROPN,appos,modeler
1,2,29,",",PUNCT,punct,","
1,2,30,named,VERB,acl,named
1,2,31,Bearer,PROPN,nmod,bearer
1,2,32,",",PUNCT,punct,","
1,2,33,Begetter,PROPN,oprd,begetter
1,2,34,",",PUNCT,punct,","
1,2,35,Hunahpu,PROPN,compound,hunahpu
1,2,36,Possum,PROPN,conj,possum
1,2,37,",",PUNCT,punct,","
1,2,38,Hunahpu,PROPN,compound,hunahpu
1,2,39,Coyote,PROPN,conj,coyote
1,2,40,",",PUNCT,punct,","
1,2,41,Great,PROPN,compound,great
1,2,42,White,PROPN,compound,white
1,2,43,Peccary,PROPN,conj,peccary
1,2,44,",",PUNCT,punct,","
1,2,45,Tapir,PROPN,conj,tapir
1,2,46,",",PUNCT,punct,","
1,2,47,Sovereign,PROPN,compound,sovereign
1,2,48,Plumed,PROPN,compound,plumed
1,2,49,Serpent,PROPN,conj,serpent
1,2,50,",",PUNCT,punct,","
1,2,51,Heart,NOUN,appos,heart
1,2,52,of,ADP,prep,of
1,2,53,the,DET,det,the
1,2,54,Lake,PROPN,pobj,lake
1,2,55,",",PUNCT,punct,","
1,2,56,Heart,NOUN,appos,heart
1,2,57,of,ADP,prep,of
1,2,58,the,DET,det,the
1,2,59,Sea,PROPN,pobj,sea
1,2,60,",",PUNCT,punct,","
1,2,61,Maker,NOUN,conj,maker
1,2,62,of,ADP,prep,of
1,2,63,the,DET,det,the
1,2,64,Blue,PROPN,compound,blue
1,2,65,-,PUNCT,punct,-
1,2,66,Green,PROPN,compound,green
1,2,67,Plate,PROPN,pobj,plate
1,2,68,",",PUNCT,punct,","
1,2,69,Maker,NOUN,appos,maker
1,2,70,of,ADP,prep,of
1,2,71,the,DET,det,the
1,2,72,Blue,PROPN,compound,blue
1,2,73,-,PUNCT,punct,-
1,2,74,Green,PROPN,compound,green
1,2,75,Bowl,PROPN,pobj,bowl
1,2,76,",",PUNCT,punct,","
1,2,77,as,SCONJ,mark,as
1,2,78,they,PRON,nsubjpass,they
1,2,79,are,AUX,auxpass,are
1,2,80,called,VERB,advcl,called
1,2,81,",",PUNCT,punct,","
1,2,82,also,ADV,advmod,also
1,2,83,named,VERB,dep,named
1,2,84,",",PUNCT,punct,","
1,2,85,also,ADV,advmod,also
1,2,86,described,VERB,acl,described
1,2,87,as,ADP,prep,as
1,2,88,the,DET,det,the
1,2,89,midwife,PROPN,nmod,midwife
1,2,90,",",PUNCT,punct,","
1,2,91,matchmaker,PROPN,pobj,matchmaker
1,2,92,named,VERB,acl,named
1,2,93,Xpiyacoc,PROPN,oprd,xpiyacoc
1,2,94,",",PUNCT,punct,","
1,2,95,Xmucane,PROPN,conj,xmucane
1,2,96,",",PUNCT,punct,","
1,2,97,defender,NOUN,conj,defender
1,2,98,",",PUNCT,punct,","
1,2,99,protector,NOUN,conj,protector
1,2,100,",",PUNCT,punct,","
1,2,101,twice,DET,predet,twice
1,2,102,a,DET,det,a
1,2,103,midwife,NOUN,appos,midwife
1,2,104,",",PUNCT,punct,","
1,2,105,twice,DET,predet,twice
1,2,106,a,DET,det,a
1,2,107,matchmaker,NOUN,npadvmod,matchmaker
1,2,108,",",PUNCT,punct,","
1,2,109,as,SCONJ,mark,as
1,2,110,is,AUX,auxpass,is
1,2,111,said,VERB,advcl,said
1,2,112,in,ADP,prep,in
1,2,113,the,DET,det,the
1,2,114,words,NOUN,pobj,words
1,2,115,of,ADP,prep,of
1,2,116,Quiche,PROPN,pobj,quiche
1,2,117,.,PUNCT,punct,.
1,3,0,They,PRON,nsubj,they
1,3,1,accounted,VERB,ROOT,accounted
1,3,2,for,ADP,prep,for
1,3,3,everythingand,NOUN,pobj,everythingand
1,3,4,did,AUX,dep,did
1,3,5,it,PRON,dobj,it
1,3,6,",",PUNCT,punct,","
1,3,7,too-,ADV,dep,too-
1,3,8,as,ADP,prep,as
1,3,9,enlightened,ADJ,amod,enlightened
1,3,10,beings,NOUN,pobj,beings
1,3,11,",",PUNCT,punct,","
1,3,12,in,ADP,prep,in
1,3,13,enlightened,ADJ,amod,enlightened
1,3,14,words,NOUN,pobj,words
1,3,15,.,PUNCT,punct,.
1,4,0,We,PRON,nsubj,we
1,4,1,shall,AUX,aux,shall
1,4,2,write,VERB,ROOT,write
1,4,3,about,ADP,prep,about
1,4,4,this,PRON,pobj,this
1,4,5,now,ADV,advmod,now
1,4,6,amid,ADP,prep,amid
1,4,7,the,DET,det,the
1,4,8,preaching,NOUN,pobj,preaching
1,4,9,of,ADP,prep,of
1,4,10,God,PROPN,pobj,god
1,4,11,",",PUNCT,punct,","
1,4,12,in,ADP,prep,in
1,4,13,Christendom,PROPN,pobj,christendom
1,4,14,now,ADV,advmod,now
1,4,15,.,PUNCT,punct,.
1,5,0,We,PRON,nsubj,we
1,5,1,shall,AUX,aux,shall
1,5,2,bring,VERB,ROOT,bring
1,5,3,it,PRON,dobj,it
1,5,4,out,ADP,prt,out
1,5,5,because,SCONJ,mark,because
1,5,6,there,PRON,expl,there
1,5,7,is,VERB,advcl,is
1,5,8,no,ADV,neg,no
1,5,9,longer,ADV,advmod,longer
1,5,10,a,DET,det,a
1,5,11,place,NOUN,attr,place
1,5,12,to,PART,aux,to
1,5,13,see,VERB,relcl,see
1,5,14,it,PRON,dobj,it
1,5,15,",",PUNCT,punct,","
1,5,16,a,DET,det,a
1,5,17,Council,PROPN,compound,council
1,5,18,Book,PROPN,attr,book
1,5,19,",",PUNCT,punct,","
1,5,20,a,DET,det,a
1,5,21,place,NOUN,appos,place
1,5,22,to,PART,aux,to
1,5,23,see,VERB,relcl,see
1,5,24,"""",PUNCT,punct,""""
1,5,25,The,DET,det,the
1,5,26,Light,PROPN,dobj,light
1,5,27,That,PRON,nsubj,that
1,5,28,Came,VERB,relcl,came
1,5,29,from,ADP,prep,from
1,5,30,Across,ADP,prep,across
1,5,31,the,DET,det,the
1,5,32,Sea,PROPN,pobj,sea
1,5,33,",",PUNCT,punct,","
1,5,34,"""",PUNCT,punct,""""
1,5,35,the,DET,det,the
1,5,36,account,NOUN,appos,account
1,5,37,of,ADP,prep,of
1,5,38,"""",PUNCT,punct,""""
1,5,39,Our,PROPN,compound,our
1,5,40,Place,PROPN,pobj,place
1,5,41,in,ADP,prep,in
1,5,42,the,DET,det,the
1,5,43,Shadows,NOUN,pobj,shadows
1,5,44,",",PUNCT,punct,","
1,5,45,"""",PUNCT,punct,""""
1,5,46,a,DET,det,a
1,5,47,place,NOUN,appos,place
1,5,48,to,PART,aux,to
1,5,49,see,VERB,relcl,see
1,5,50,"""",PUNCT,punct,""""
1,5,51,The,DET,det,the
1,5,52,Dawn,PROPN,dobj,dawn
1,5,53,of,ADP,prep,of
1,5,54,Life,PROPN,pobj,life
1,5,55,",",PUNCT,punct,","
1,5,56,"""",PUNCT,punct,""""
1,5,57,as,SCONJ,mark,as
1,5,58,it,PRON,nsubjpass,it
1,5,59,is,AUX,auxpass,is
1,5,60,called,VERB,advcl,called
1,5,61,.,PUNCT,punct,.
1,6,0,There,PRON,expl,there
1,6,1,is,VERB,ROOT,is
1,6,2,the,DET,det,the
1,6,3,original,ADJ,amod,original
1,6,4,book,NOUN,attr,book
1,6,5,and,CCONJ,cc,and
1,6,6,ancient,ADJ,amod,ancient
1,6,7,writing,NOUN,conj,writing
1,6,8,",",PUNCT,punct,","
1,6,9,but,CCONJ,cc,but
1,6,10,he,PRON,attr,he
1,6,11,who,PRON,nsubj,who
1,6,12,reads,VERB,relcl,reads
1,6,13,and,CCONJ,cc,and
1,6,14,ponders,NOUN,conj,ponders
1,6,15,it,PRON,nsubj,it
1,6,16,hides,VERB,relcl,hides
1,6,17,his,PRON,poss,his
1,6,18,face,NOUN,dobj,face
1,6,19,.,PUNCT,punct,.
1,7,0,It,PRON,nsubj,it
1,7,1,takes,VERB,ROOT,takes
1,7,2,a,DET,det,a
1,7,3,long,ADJ,amod,long
1,7,4,performance,NOUN,dobj,performance
1,7,5,and,CCONJ,cc,and
1,7,6,account,NOUN,conj,account
1,7,7,to,PART,aux,to
1,7,8,complete,VERB,xcomp,complete
1,7,9,the,DET,det,the
1,7,10,emergence,NOUN,dobj,emergence
1,7,11,of,ADP,prep,of
1,7,12,all,DET,predet,all
1,7,13,the,DET,det,the
1,7,14,sky,NOUN,compound,sky
1,7,15,-,PUNCT,punct,-
1,7,16,earth,NOUN,pobj,earth
1,7,17,:,PUNCT,punct,:
1,7,18,the,DET,det,the
1,7,19,fourfold,ADJ,amod,fourfold
1,7,20,siding,NOUN,appos,siding
1,7,21,",",PUNCT,punct,","
1,7,22,fourfold,ADJ,amod,fourfold
1,7,23,cornering,NOUN,conj,cornering
1,7,24,",",PUNCT,punct,","
1,7,25,measuring,VERB,conj,measuring
1,7,26,",",PUNCT,punct,","
1,7,27,fourfold,ADJ,amod,fourfold
1,7,28,staking,NOUN,conj,staking
1,7,29,",",PUNCT,punct,","
1,7,30,halving,VERB,acl,halving
1,7,31,the,DET,det,the
1,7,32,cord,NOUN,dobj,cord
1,7,33,",",PUNCT,punct,","
1,7,34,stretching,VERB,conj,stretching
1,7,35,the,DET,det,the
1,7,36,cord,NOUN,dobj,cord
1,7,37,in,ADP,prep,in
1,7,38,the,DET,det,the
1,7,39,sky,NOUN,pobj,sky
1,7,40,",",PUNCT,punct,","
1,7,41,on,ADP,prep,on
1,7,42,the,DET,det,the
1,7,43,earth,NOUN,pobj,earth
1,7,44,",",PUNCT,punct,","
1,7,45,the,DET,det,the
1,7,46,four,NUM,nummod,four
1,7,47,sides,NOUN,conj,sides
1,7,48,",",PUNCT,punct,","
1,7,49,the,DET,det,the
1,7,50,four,NUM,nummod,four
1,7,51,corners,NOUN,appos,corners
1,7,52,",",PUNCT,punct,","
1,7,53,as,SCONJ,mark,as
1,7,54,it,PRON,nsubjpass,it
1,7,55,is,AUX,auxpass,is
1,7,56,said,VERB,advcl,said
1,7,57,",",PUNCT,punct,","
1,7,58,by,ADP,prep,by
1,7,59,the,DET,det,the
1,7,60,Maker,PROPN,pobj,maker
1,7,61,",",PUNCT,punct,","
1,7,62,Modeler,PROPN,conj,modeler
1,7,63,",",PUNCT,punct,","
1,7,64,mother,NOUN,compound,mother
1,7,65,-,PUNCT,punct,-
1,7,66,father,NOUN,conj,father
1,7,67,of,ADP,prep,of
1,7,68,life,NOUN,pobj,life
1,7,69,",",PUNCT,punct,","
1,7,70,of,ADP,prep,of
1,7,71,humankind,NOUN,pobj,humankind
1,7,72,",",PUNCT,punct,","
